respondent_id,country,trust_people,trust_fairness,trust_helpfulness,political_interest,political_self_efficacy,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,trust_eu_parliament,trust_un,voted_last_election,contacted_politician,volunteered,left_right,life_satisfaction,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_sys,reduce_inequality,gay_rights,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_poor_countries,happiness,social_meeting_freq,close_confidants,social_activity,crime_victim,feel_safe_dark,self_rated_health,health_hampered,religious_belonging,born_in_country,felt_depressed,felt_everything_effort,sleep_restless,was_happy,felt_lonely,enjoyed_life,felt_sad,could_not_get_going,risk_taking,leadership_preference,competitiveness,gender,age,urbanization,education_level,employment_relation,occupation_code,income_decile,intagea,intgndr,intlnga,trust_institutions
50637.0,AT,0.7,0.8,0.8,2,1,0.8,0.8,0.8,0.5,0.4,0.5,0.5,3,2,2,0.3,0.8,0.6,0.6,0.8,0.5,0.8,0.25,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.16666666666666666,0.16666666666666666,5,2,1.0,2,3,1,2,1,1,2,3,2,3,1,1,0.3333333333333333,0.3333333333333333,0.8333333333333334,1,74.0,1,7.0,1,2642.0,1.0,46.0,1,GER,0.8000000000000002
50638.0,AT,0.5,0.4,0.4,2,2,0.5,0.6,0.7,0.2,0.2,0.3,0.5,1,1,2,,0.7,0.6,0.4,0.6,0.5,0.3,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7,0.8333333333333334,0.3333333333333333,3,2,0.6666666666666666,3,3,2,1,2,2,2,2,1,2,1,2,0.3333333333333333,0.8333333333333334,0.6666666666666666,1,74.0,1,3.0,1,5131.0,2.0,,1,GER,0.6
50651.0,AT,0.7,0.7,0.7,3,3,0.5,0.5,0.7,0.3,0.4,0.5,0.7,1,1,2,0.4,0.8,0.4,0.4,0.5,0.4,0.6,0.0,0.0,1.0,1.0,0.6666666666666666,0.8,0.8333333333333334,0.5,4,2,1.0,1,3,1,2,1,1,1,3,1,3,1,1,0.5,0.6666666666666666,1.0,2,36.0,4,6.0,1,2359.0,5.0,69.0,1,GER,0.5666666666666667
50681.0,AT,0.6,0.3,0.5,3,2,0.4,0.7,0.7,0.2,0.2,0.4,0.3,1,2,1,0.7,0.8,0.4,0.4,0.4,0.6,0.7,0.0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.3333333333333333,2,2,0.6666666666666666,2,3,2,1,2,2,2,4,1,4,1,1,0.6666666666666666,0.8333333333333334,0.6666666666666666,1,28.0,3,3.0,1,3115.0,6.0,,1,GER,0.6
50687.0,AT,0.7,0.8,0.8,2,1,0.6,0.7,0.7,0.5,0.6,0.6,0.6,1,2,2,0.3,0.4,0.5,0.4,0.9,0.7,0.9,0.25,0.25,-1.0,-1.0,-1.0,0.7,0.5,0.16666666666666666,2,2,0.6666666666666666,3,2,1,1,2,2,2,2,2,2,2,2,0.16666666666666666,0.6666666666666666,0.3333333333333333,1,65.0,1,3.0,1,,9.0,40.0,2,GER,0.6666666666666666
50707.0,AT,0.5,0.5,0.4,4,2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,2,2,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.25,1.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,3,2,0.6666666666666666,2,3,1,1,1,1,1,2,1,4,4,1,0.5,0.16666666666666666,0.6666666666666666,2,42.0,4,2.0,1,9129.0,5.0,63.0,1,GER,0.4000000000000001
50714.0,AT,0.7,0.7,0.5,2,3,0.8,1.0,1.0,0.8,0.7,1.0,1.0,1,2,2,0.5,0.5,0.7,0.5,0.8,0.7,0.8,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.3333333333333333,0.5,2,2,1.0,4,1,2,2,3,2,4,2,3,2,3,2,0.16666666666666666,0.3333333333333333,1.0,1,60.0,3,7.0,2,3112.0,,,1,GER,0.9333333333333332
50730.0,AT,0.7,0.8,0.7,1,3,0.7,1.0,0.8,0.6,0.5,0.7,0.7,1,2,2,0.3,0.9,0.7,0.5,1.0,0.7,0.7,0.25,0.25,1.0,1.0,0.6666666666666666,0.9,0.8333333333333334,0.0,2,2,1.0,2,3,1,1,2,1,1,4,1,4,2,1,0.3333333333333333,1.0,0.8333333333333334,1,60.0,4,3.0,1,1120.0,7.0,61.0,1,GER,0.8333333333333334
50732.0,AT,0.7,0.3,0.7,4,2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,3,2,2,0.5,0.8,1.0,,0.9,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.7,1.0,0.5,5,2,0.6666666666666666,1,3,1,1,1,1,2,4,1,4,1,1,0.16666666666666666,0.0,0.8333333333333334,2,16.0,4,2.0,6,,,43.0,1,GER,0.6
50735.0,AT,0.6,0.7,0.6,3,1,0.3,0.5,0.5,0.1,0.1,0.1,0.1,1,2,2,0.6,0.8,0.2,0.0,0.1,0.6,0.8,0.0,0.25,0.0,0.0,0.0,0.8,0.8333333333333334,0.5,4,2,1.0,1,3,1,1,1,1,2,3,1,3,1,1,0.5,0.6666666666666666,0.5,1,28.0,3,5.0,1,1112.0,,59.0,1,GER,0.43333333333333335
